Date_Time,Turbidity (NTU),SSC (mg/L),C_conc,S_conc,FS_conc
4/17/2023 12:14,3.816,2.715,0.00,1.99,1.66
4/17/2023 12:29,5.742,4.673,0.01,3.05,2.52
4/17/2023 12:44,6.163,5.102,0.02,3.28,2.71
4/17/2023 12:59,6.132,5.070,0.02,3.27,2.70
4/17/2023 13:14,6.109,5.047,0.02,3.25,2.69
4/17/2023 13:29,4.285,3.192,0.00,2.25,1.87
4/17/2023 13:44,5.938,4.873,0.01,3.16,2.61
4/17/2023 13:59,4.285,3.191,0.00,2.25,1.87
4/17/2023 14:14,4.777,3.692,0.00,2.52,2.09
4/17/2023 14:29,4.828,3.744,0.00,2.55,2.12
4/17/2023 14:44,4.657,3.570,0.00,2.45,2.04
4/17/2023 14:59,4.690,3.604,0.00,2.47,2.05
4/17/2023 15:14,4.683,3.596,0.00,2.47,2.05
4/17/2023 15:29,4.444,3.353,0.00,2.34,1.94
4/17/2023 15:44,1.577,0.437,0.00,0.76,0.67
4/17/2023 19:44,12.692,11.741,0.15,6.88,5.62
4/17/2023 19:59,10.131,9.137,0.10,5.47,4.48
4/17/2023 20:14,14.446,13.525,0.19,7.84,6.40
4/17/2023 20:29,19.153,18.313,0.29,10.44,8.50
4/17/2023 20:44,24.142,23.386,0.39,13.18,10.73
4/17/2023 20:59,20.993,20.184,0.32,11.45,9.32
4/17/2023 21:14,20.346,19.525,0.31,11.09,9.03
4/17/2023 21:29,15.077,14.167,0.20,8.19,6.68
4/17/2023 21:44,16.667,15.784,0.23,9.07,7.39
4/17/2023 21:59,13.185,12.243,0.16,7.15,5.84
4/17/2023 22:14,13.601,12.666,0.17,7.38,6.03
4/17/2023 22:29,11.061,10.083,0.12,5.98,4.89
4/17/2023 22:48,12.298,11.341,0.14,6.66,5.45
4/17/2023 23:03,13.851,12.920,0.18,7.52,6.14
4/17/2023 23:18,12.034,11.072,0.14,6.52,5.33
4/17/2023 23:33,12.147,11.187,0.14,6.58,5.38
4/17/2023 23:44,12.497,11.543,0.15,6.77,5.53
4/17/2023 23:59,12.579,11.627,0.15,6.82,5.57
4/18/2023 0:14,12.035,11.074,0.14,6.52,5.33
4/18/2023 0:29,14.262,13.338,0.18,7.74,6.32
4/18/2023 0:44,11.758,10.791,0.13,6.36,5.20
4/18/2023 0:59,11.747,10.780,0.13,6.36,5.20
4/18/2023 1:14,14.557,13.638,0.19,7.91,6.45
4/18/2023 1:29,11.066,10.088,0.12,5.98,4.90
4/18/2023 1:44,11.600,10.631,0.13,6.28,5.13
4/18/2023 1:59,12.821,11.872,0.15,6.95,5.68
4/18/2023 2:14,17.003,16.126,0.24,9.25,7.54
4/18/2023 2:29,11.523,10.552,0.13,6.23,5.10
4/18/2023 2:44,11.593,10.624,0.13,6.27,5.13
4/18/2023 2:59,13.562,12.627,0.17,7.36,6.01
4/18/2023 3:14,10.914,9.933,0.12,5.90,4.83
4/18/2023 3:29,10.908,9.927,0.12,5.90,4.83
4/18/2023 3:44,11.173,10.196,0.12,6.04,4.94
4/18/2023 3:59,13.983,13.054,0.18,7.59,6.20
4/18/2023 4:14,11.956,10.993,0.14,6.47,5.29
4/18/2023 4:29,12.888,11.941,0.16,6.99,5.71
4/18/2023 4:44,11.816,10.851,0.13,6.40,5.23
4/18/2023 4:59,10.645,9.659,0.11,5.75,4.71
4/18/2023 5:14,14.040,13.112,0.18,7.62,6.22
4/18/2023 5:29,11.905,10.941,0.14,6.45,5.27
4/18/2023 5:44,11.373,10.400,0.12,6.15,5.03
4/18/2023 5:59,9.580,8.577,0.09,5.17,4.23
4/18/2023 6:14,10.069,9.074,0.10,5.43,4.45
4/18/2023 6:29,10.455,9.466,0.11,5.65,4.62
4/18/2023 6:44,11.461,10.490,0.13,6.20,5.07
4/18/2023 6:59,13.543,12.607,0.17,7.35,6.00
4/18/2023 7:14,12.912,11.966,0.16,7.00,5.72
4/18/2023 7:29,10.223,9.230,0.10,5.52,4.52
4/18/2023 7:44,14.231,13.306,0.18,7.73,6.31
4/18/2023 7:59,13.418,12.480,0.17,7.28,5.94
4/18/2023 8:14,13.829,12.898,0.18,7.50,6.13
4/18/2023 8:29,10.619,9.634,0.11,5.74,4.70
4/18/2023 8:44,12.581,11.629,0.15,6.82,5.57
4/18/2023 8:59,13.246,12.305,0.16,7.18,5.87
4/18/2023 9:14,13.255,12.314,0.16,7.19,5.87
4/18/2023 9:29,10.834,9.852,0.11,5.86,4.79
4/18/2023 9:44,11.534,10.564,0.13,6.24,5.11
4/18/2023 9:59,13.356,12.417,0.17,7.24,5.92
4/18/2023 10:14,12.411,11.455,0.15,6.72,5.50
4/18/2023 10:29,10.953,9.973,0.12,5.92,4.85
4/18/2023 10:44,10.287,9.296,0.10,5.55,4.55
4/18/2023 10:59,14.531,13.611,0.19,7.89,6.44
4/18/2023 11:14,9.860,8.861,0.09,5.32,4.36
4/18/2023 11:29,13.707,12.774,0.17,7.44,6.07
4/18/2023 11:44,9.754,8.754,0.09,5.26,4.31
4/18/2023 11:59,10.728,9.744,0.11,5.80,4.75
4/18/2023 12:14,12.480,11.526,0.15,6.76,5.53
4/18/2023 12:29,12.015,11.053,0.14,6.51,5.32
4/18/2023 12:44,11.540,10.570,0.13,6.24,5.11
4/18/2023 12:59,12.018,11.056,0.14,6.51,5.32
4/18/2023 13:14,14.065,13.138,0.18,7.63,6.23
4/18/2023 13:29,12.622,11.670,0.15,6.84,5.59
4/18/2023 13:44,12.946,12.000,0.16,7.02,5.73
4/18/2023 13:59,16.390,15.502,0.23,8.91,7.27
4/18/2023 14:14,14.618,13.701,0.19,7.94,6.48
4/18/2023 14:29,14.858,13.944,0.20,8.07,6.59
4/18/2023 14:44,22.244,21.456,0.35,12.14,9.88
4/18/2023 14:59,17.819,16.956,0.26,9.70,7.91
4/18/2023 15:14,18.038,17.179,0.26,9.82,8.00
4/18/2023 15:29,18.900,18.055,0.28,10.30,8.39
4/18/2023 15:44,19.360,18.522,0.29,10.55,8.59
4/18/2023 15:59,17.866,17.003,0.26,9.73,7.93
4/18/2023 16:14,18.821,17.975,0.28,10.25,8.35
4/18/2023 16:29,28.607,27.927,0.48,15.64,12.72
4/18/2023 16:44,30.831,30.189,0.53,16.87,13.71
4/18/2023 16:59,33.202,32.601,0.57,18.17,14.76
4/18/2023 17:14,20.927,20.116,0.32,11.41,9.29
4/18/2023 17:29,21.468,20.667,0.33,11.71,9.53
4/18/2023 17:44,20.332,19.511,0.31,11.09,9.03
4/18/2023 17:59,20.412,19.593,0.31,11.13,9.06
4/18/2023 18:14,15.416,14.511,0.21,8.38,6.84
4/18/2023 18:29,16.412,15.525,0.23,8.93,7.28
4/18/2023 18:44,18.978,18.134,0.28,10.34,8.42
4/18/2023 18:59,28.680,28.001,0.48,15.68,12.75
4/18/2023 19:14,26.009,25.285,0.43,14.21,11.56
4/18/2023 19:29,15.189,14.281,0.20,8.25,6.73
4/18/2023 19:44,14.587,13.669,0.19,7.92,6.47
4/18/2023 19:59,14.007,13.079,0.18,7.60,6.21
4/18/2023 20:14,17.695,16.830,0.26,9.63,7.85
4/18/2023 20:29,15.926,15.031,0.22,8.66,7.06
4/18/2023 20:44,16.976,16.099,0.24,9.24,7.53
4/18/2023 20:59,15.028,14.117,0.20,8.16,6.66
4/18/2023 21:14,17.427,16.557,0.25,9.49,7.73
4/18/2023 21:29,18.119,17.261,0.26,9.87,8.04
4/18/2023 21:44,12.143,11.183,0.14,6.58,5.38
4/18/2023 21:59,15.007,14.096,0.20,8.15,6.65
4/18/2023 22:14,15.836,14.939,0.22,8.61,7.02
4/18/2023 22:29,12.602,11.650,0.15,6.83,5.58
4/18/2023 22:44,12.627,11.675,0.15,6.84,5.59
4/18/2023 22:59,13.212,12.270,0.16,7.17,5.85
4/18/2023 23:14,12.305,11.348,0.14,6.67,5.45
4/18/2023 23:29,14.351,13.429,0.19,7.79,6.36
4/18/2023 23:44,12.989,12.043,0.16,7.04,5.75
4/18/2023 23:59,11.528,10.558,0.13,6.24,5.10
4/19/2023 0:14,12.072,11.111,0.14,6.54,5.34
4/19/2023 0:29,13.253,12.312,0.16,7.19,5.87
4/19/2023 0:44,14.692,13.775,0.19,7.98,6.51
4/19/2023 0:59,15.622,14.722,0.21,8.49,6.93
4/19/2023 1:14,14.531,13.612,0.19,7.89,6.44
4/19/2023 1:29,11.521,10.551,0.13,6.23,5.10
4/19/2023 1:44,12.644,11.693,0.15,6.85,5.60
4/19/2023 1:59,13.395,12.457,0.17,7.27,5.93
4/19/2023 2:14,12.179,11.220,0.14,6.60,5.39
4/19/2023 2:29,10.566,9.579,0.11,5.71,4.67
4/19/2023 2:44,12.964,12.019,0.16,7.03,5.74
4/19/2023 2:59,11.753,10.786,0.13,6.36,5.20
4/19/2023 3:14,11.778,10.812,0.13,6.38,5.21
4/19/2023 3:29,13.439,12.502,0.17,7.29,5.95
4/19/2023 3:44,13.584,12.648,0.17,7.37,6.02
4/19/2023 3:59,12.672,11.721,0.15,6.87,5.61
4/19/2023 4:14,13.609,12.674,0.17,7.38,6.03
4/19/2023 4:29,14.189,13.264,0.18,7.70,6.29
4/19/2023 4:44,11.602,10.634,0.13,6.28,5.14
4/19/2023 4:59,11.453,10.482,0.13,6.20,5.07
4/19/2023 5:14,12.573,11.620,0.15,6.81,5.57
4/19/2023 5:29,13.495,12.559,0.17,7.32,5.98
4/19/2023 5:44,11.579,10.610,0.13,6.27,5.13
4/19/2023 5:59,12.610,11.658,0.15,6.83,5.58
4/19/2023 6:14,12.749,11.800,0.15,6.91,5.65
4/19/2023 6:29,15.442,14.538,0.21,8.39,6.85
4/19/2023 6:44,12.397,11.441,0.15,6.72,5.49
4/19/2023 6:59,11.563,10.594,0.13,6.26,5.12
4/19/2023 7:14,10.417,9.428,0.11,5.63,4.61
4/19/2023 7:29,10.876,9.895,0.11,5.88,4.81
4/19/2023 7:44,12.945,11.998,0.16,7.02,5.73
4/19/2023 7:59,11.762,10.796,0.13,6.37,5.21
4/19/2023 8:14,12.914,11.967,0.16,7.00,5.72
4/19/2023 8:29,10.351,9.361,0.10,5.59,4.58
4/19/2023 8:44,12.865,11.917,0.16,6.97,5.70
4/19/2023 8:59,11.976,11.013,0.14,6.48,5.30
4/19/2023 9:14,12.077,11.117,0.14,6.54,5.35
4/19/2023 9:29,12.712,11.762,0.15,6.89,5.63
4/19/2023 9:44,10.662,9.678,0.11,5.76,4.72
4/19/2023 9:59,10.995,10.015,0.12,5.94,4.86
4/19/2023 10:14,10.671,9.686,0.11,5.77,4.72
4/19/2023 10:29,12.136,11.176,0.14,6.57,5.37
4/19/2023 10:44,11.543,10.573,0.13,6.25,5.11
4/19/2023 10:59,13.680,12.747,0.17,7.42,6.06
4/19/2023 11:14,11.864,10.900,0.14,6.42,5.25
4/19/2023 11:29,11.495,10.524,0.13,6.22,5.09
4/19/2023 11:44,12.274,11.316,0.14,6.65,5.43
4/19/2023 11:59,11.725,10.758,0.13,6.35,5.19
4/19/2023 12:14,9.118,8.107,0.08,4.91,4.03
4/19/2023 12:29,10.647,9.662,0.11,5.75,4.71
4/19/2023 12:44,13.247,12.306,0.16,7.18,5.87
4/19/2023 12:59,10.188,9.195,0.10,5.50,4.50
4/19/2023 13:14,11.301,10.327,0.12,6.11,5.00
4/19/2023 13:29,10.397,9.407,0.10,5.62,4.60
4/19/2023 13:44,12.249,11.291,0.14,6.64,5.42
4/19/2023 13:59,10.940,9.960,0.12,5.91,4.84
4/19/2023 14:14,13.515,12.579,0.17,7.33,5.99
4/19/2023 14:29,13.827,12.896,0.18,7.50,6.13
4/19/2023 14:44,14.649,13.732,0.19,7.96,6.49
4/19/2023 14:59,14.899,13.986,0.20,8.09,6.60
4/19/2023 15:14,14.445,13.524,0.19,7.84,6.40
4/19/2023 15:29,12.888,11.941,0.16,6.99,5.71
4/19/2023 15:44,15.870,14.974,0.22,8.63,7.04
4/19/2023 15:59,13.663,12.729,0.17,7.41,6.05
4/19/2023 16:14,19.696,18.864,0.30,10.74,8.74
4/19/2023 16:29,18.695,17.847,0.28,10.18,8.30
4/19/2023 16:44,15.661,14.761,0.21,8.51,6.94
4/19/2023 16:59,18.101,17.243,0.26,9.86,8.03
4/19/2023 17:14,13.370,12.431,0.17,7.25,5.92
4/19/2023 17:29,16.486,15.600,0.23,8.97,7.31
4/19/2023 17:44,14.913,14.001,0.20,8.10,6.61
4/19/2023 17:59,14.163,13.237,0.18,7.69,6.28
4/19/2023 18:14,14.983,14.072,0.20,8.14,6.64
4/19/2023 18:29,17.920,17.059,0.26,9.76,7.95
4/19/2023 18:44,20.446,19.628,0.31,11.15,9.08
4/19/2023 18:59,13.688,12.754,0.17,7.43,6.07
4/19/2023 19:14,14.368,13.446,0.19,7.80,6.37
4/19/2023 19:29,14.642,13.725,0.19,7.95,6.49
4/19/2023 19:44,12.103,11.143,0.14,6.55,5.36
4/19/2023 19:59,10.330,9.339,0.10,5.58,4.57
4/19/2023 20:14,11.661,10.693,0.13,6.31,5.16
4/19/2023 20:29,12.352,11.396,0.15,6.69,5.47
4/19/2023 20:44,12.889,11.942,0.16,6.99,5.71
4/19/2023 20:59,11.037,10.059,0.12,5.97,4.88
4/19/2023 21:14,12.146,11.186,0.14,6.58,5.38
4/19/2023 21:29,17.582,16.715,0.25,9.57,7.80
4/19/2023 21:44,11.349,10.376,0.12,6.14,5.02
4/19/2023 21:59,14.040,13.113,0.18,7.62,6.22
4/19/2023 22:14,12.679,11.728,0.15,6.87,5.62
4/19/2023 22:29,9.485,8.480,0.09,5.11,4.19
4/19/2023 22:44,10.398,9.408,0.10,5.62,4.60
4/19/2023 22:59,12.085,11.124,0.14,6.54,5.35
4/19/2023 23:14,11.700,10.732,0.13,6.33,5.18
4/19/2023 23:29,11.083,10.105,0.12,5.99,4.90
4/19/2023 23:44,11.407,10.435,0.13,6.17,5.05
4/19/2023 23:59,12.368,11.412,0.15,6.70,5.48
4/20/2023 0:14,10.559,9.573,0.11,5.70,4.67
4/20/2023 0:29,10.531,9.544,0.11,5.69,4.66
4/20/2023 0:44,13.714,12.781,0.17,7.44,6.08
4/20/2023 0:59,10.595,9.609,0.11,5.72,4.69
4/20/2023 1:14,9.605,8.602,0.09,5.18,4.25
4/20/2023 1:29,11.206,10.230,0.12,6.06,4.96
4/20/2023 1:44,10.379,9.390,0.10,5.61,4.59
4/20/2023 1:59,10.354,9.363,0.10,5.59,4.58
4/20/2023 2:14,12.671,11.720,0.15,6.87,5.61
4/20/2023 2:29,9.833,8.834,0.09,5.30,4.35
4/20/2023 2:44,11.629,10.661,0.13,6.29,5.15
4/20/2023 2:59,10.519,9.532,0.11,5.68,4.65
4/20/2023 3:14,9.664,8.662,0.09,5.21,4.27
4/20/2023 3:29,10.889,9.907,0.12,5.89,4.82
4/20/2023 3:44,9.667,8.665,0.09,5.21,4.27
4/20/2023 3:59,10.987,10.007,0.12,5.94,4.86
4/20/2023 4:14,12.364,11.408,0.15,6.70,5.47
4/20/2023 4:29,11.336,10.362,0.12,6.13,5.02
4/20/2023 4:44,8.974,7.961,0.08,4.83,3.96
4/20/2023 4:59,8.972,7.958,0.08,4.83,3.96
4/20/2023 5:14,11.534,10.564,0.13,6.24,5.11
4/20/2023 5:29,14.074,13.147,0.18,7.64,6.24
4/20/2023 5:44,10.085,9.090,0.10,5.44,4.46
4/20/2023 5:59,9.222,8.213,0.08,4.97,4.07
4/20/2023 6:14,11.158,10.182,0.12,6.03,4.94
4/20/2023 6:29,11.481,10.510,0.13,6.21,5.08
4/20/2023 6:44,12.162,11.203,0.14,6.59,5.39
4/20/2023 6:59,11.839,10.874,0.13,6.41,5.24
4/20/2023 7:14,10.823,9.841,0.11,5.85,4.79
4/20/2023 7:29,10.717,9.733,0.11,5.79,4.74
4/20/2023 7:44,10.447,9.459,0.11,5.64,4.62
4/20/2023 7:59,9.493,8.488,0.09,5.12,4.19
4/20/2023 8:14,12.725,11.775,0.15,6.90,5.64
4/20/2023 8:29,11.409,10.437,0.13,6.17,5.05
4/20/2023 8:44,9.807,8.807,0.09,5.29,4.34
4/20/2023 8:59,11.038,10.059,0.12,5.97,4.88
4/20/2023 9:14,17.298,16.426,0.25,9.42,7.67
4/20/2023 9:29,9.881,8.882,0.09,5.33,4.37
4/20/2023 9:44,9.941,8.943,0.10,5.36,4.39
4/20/2023 9:59,12.391,11.435,0.15,6.71,5.49
4/20/2023 10:14,11.358,10.384,0.12,6.14,5.03
4/20/2023 10:29,9.386,8.379,0.08,5.06,4.15
4/20/2023 10:44,10.719,9.735,0.11,5.79,4.74
4/20/2023 10:59,12.350,11.394,0.15,6.69,5.47
4/20/2023 11:14,9.546,8.542,0.09,5.15,4.22
4/20/2023 11:29,9.697,8.695,0.09,5.23,4.29
4/20/2023 11:44,9.995,8.998,0.10,5.39,4.42
4/20/2023 11:59,12.003,11.041,0.14,6.50,5.31
4/20/2023 12:14,11.064,10.086,0.12,5.98,4.90
4/20/2023 12:29,10.860,9.879,0.11,5.87,4.80
4/20/2023 12:44,9.856,8.857,0.09,5.32,4.36
4/20/2023 12:59,10.502,9.515,0.11,5.67,4.65
4/20/2023 13:14,9.311,8.303,0.08,5.02,4.11
4/20/2023 13:29,12.278,11.320,0.14,6.65,5.44
4/20/2023 13:44,10.223,9.231,0.10,5.52,4.52
4/20/2023 13:59,9.713,8.712,0.09,5.24,4.29
4/20/2023 14:14,10.457,9.468,0.11,5.65,4.62
4/20/2023 14:29,9.819,8.820,0.09,5.30,4.34
4/20/2023 14:44,13.544,12.608,0.17,7.35,6.00
4/20/2023 14:59,12.775,11.826,0.15,6.92,5.66
4/20/2023 15:14,11.842,10.878,0.13,6.41,5.24
4/20/2023 15:29,11.001,10.022,0.12,5.95,4.87
4/20/2023 15:44,11.526,10.555,0.13,6.24,5.10
4/20/2023 15:59,9.594,8.591,0.09,5.17,4.24
4/20/2023 16:14,12.253,11.295,0.14,6.64,5.43
4/20/2023 16:29,10.253,9.261,0.10,5.54,4.53
4/20/2023 16:44,10.258,9.266,0.10,5.54,4.54
4/20/2023 16:59,10.125,9.131,0.10,5.47,4.48
4/20/2023 17:14,9.836,8.837,0.09,5.31,4.35
4/20/2023 17:29,9.057,8.044,0.08,4.88,4.00
4/20/2023 17:44,9.615,8.612,0.09,5.18,4.25
4/20/2023 17:59,13.886,12.956,0.18,7.54,6.15
4/20/2023 18:14,10.605,9.619,0.11,5.73,4.69
4/20/2023 18:29,12.510,11.556,0.15,6.78,5.54
4/20/2023 18:44,10.563,9.576,0.11,5.71,4.67
4/20/2023 18:59,9.809,8.810,0.09,5.29,4.34
4/20/2023 19:14,8.553,7.532,0.07,4.60,3.78
4/20/2023 19:29,9.766,8.765,0.09,5.27,4.32
4/20/2023 19:44,8.032,7.002,0.06,4.31,3.54
4/20/2023 19:59,9.489,8.484,0.09,5.12,4.19
4/20/2023 20:14,11.495,10.524,0.13,6.22,5.09
4/20/2023 20:29,13.571,12.636,0.17,7.36,6.01
4/20/2023 20:44,11.609,10.640,0.13,6.28,5.14
4/20/2023 20:59,8.327,7.302,0.06,4.48,3.68
4/20/2023 21:14,9.244,8.235,0.08,4.98,4.08
4/20/2023 21:29,13.033,12.088,0.16,7.07,5.77
4/20/2023 21:44,11.090,10.113,0.12,6.00,4.91
4/20/2023 21:59,9.469,8.464,0.09,5.10,4.18
4/20/2023 22:14,8.138,7.110,0.06,4.37,3.59
4/20/2023 22:29,11.152,10.176,0.12,6.03,4.93
4/20/2023 22:44,9.633,8.631,0.09,5.19,4.26
4/20/2023 22:59,9.527,8.523,0.09,5.14,4.21
4/20/2023 23:14,9.926,8.928,0.10,5.36,4.39
4/20/2023 23:29,14.171,13.245,0.18,7.69,6.28
4/20/2023 23:44,9.450,8.444,0.09,5.09,4.18
4/20/2023 23:59,9.933,8.936,0.10,5.36,4.39
4/21/2023 0:14,8.505,7.483,0.07,4.57,3.75
4/21/2023 0:29,8.421,7.398,0.06,4.53,3.72
4/21/2023 0:44,8.264,7.238,0.06,4.44,3.65
4/21/2023 0:59,11.854,10.889,0.13,6.42,5.25
4/21/2023 1:14,8.334,7.309,0.06,4.48,3.68
4/21/2023 1:29,8.182,7.155,0.06,4.40,3.61
4/21/2023 1:44,8.888,7.873,0.07,4.78,3.93
4/21/2023 1:59,8.378,7.354,0.06,4.50,3.70
4/21/2023 2:14,7.794,6.760,0.05,4.18,3.44
4/21/2023 2:29,9.684,8.682,0.09,5.22,4.28
4/21/2023 2:44,10.155,9.161,0.10,5.48,4.49
4/21/2023 2:59,10.763,9.780,0.11,5.82,4.76
4/21/2023 3:14,11.617,10.648,0.13,6.29,5.14
4/21/2023 3:29,14.134,13.208,0.18,7.67,6.26
4/21/2023 3:44,8.810,7.794,0.07,4.74,3.89
4/21/2023 3:59,8.211,7.184,0.06,4.41,3.62
4/21/2023 4:14,7.658,6.622,0.05,4.11,3.38
4/21/2023 4:29,7.927,6.896,0.05,4.26,3.50
4/21/2023 4:44,8.430,7.407,0.06,4.53,3.72
4/21/2023 4:59,8.091,7.063,0.06,4.35,3.57
4/21/2023 5:14,12.033,11.071,0.14,6.52,5.33
4/21/2023 5:29,8.373,7.349,0.06,4.50,3.70
4/21/2023 5:44,9.226,8.217,0.08,4.97,4.08
4/21/2023 5:59,7.462,6.423,0.04,4.00,3.29
4/21/2023 6:14,7.172,6.128,0.04,3.84,3.16
4/21/2023 6:29,9.739,8.739,0.09,5.25,4.31
4/21/2023 6:44,10.533,9.546,0.11,5.69,4.66
4/21/2023 6:59,9.517,8.513,0.09,5.13,4.21
4/21/2023 7:14,8.382,7.358,0.06,4.51,3.70
4/21/2023 7:29,9.728,8.727,0.09,5.25,4.30
4/21/2023 7:44,14.151,13.225,0.18,7.68,6.27
4/21/2023 7:59,9.392,8.386,0.08,5.06,4.15
4/21/2023 8:14,9.419,8.413,0.08,5.08,4.16
4/21/2023 8:29,11.969,11.006,0.14,6.48,5.30
4/21/2023 8:44,8.061,7.032,0.06,4.33,3.56
4/21/2023 8:59,8.436,7.413,0.06,4.54,3.72
4/21/2023 9:14,8.828,7.812,0.07,4.75,3.90
